STATE,Mean_N_SOIL,Mean_P_SOIL,Mean_K_SOIL,Mean_TEMPERATURE,Mean_HUMIDITY,Mean_RAINFALL,Mean_PH
Andaman and Nicobar,81.46666666666667,50.13333333333333,40.333333333333336,23.53655081133333,81.89027817933334,240.60967015999998,6.6289803951333335
Andhra Pradesh,80.85714285714286,39.857142857142854,39.142857142857146,23.084331005714287,81.55408698857143,235.24831918571428,6.2261036967142855
Assam,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,238.4012350086207,6.473816906275863
Chattisgarh,67.0,51.2,39.8,25.849625658,81.979155982,201.6996682,5.8537233918
Goa,77.33333333333333,51.0,40.0,23.619285736666665,82.10331168666666,218.9028314,5.804503029333333
Gujarat,77.64601769911505,48.424778761061944,22.398230088495577,22.499366216460178,66.55905320150443,101.19468676752211,6.27762054961062
Haryana,39.83076923076923,68.0,80.01538461538462,18.763235714153847,16.958475268923074,81.02775001107692,7.303743002646153
Himachal Pradesh,27.647058823529413,67.53921568627452,40.07843137254902,19.656499439607845,19.81695072509804,96.1300183782353,6.299125923666667
Jammu and Kashmir,19.666666666666668,65.66666666666667,21.666666666666668,23.582200139999998,22.078571186666665,130.94656736666664,5.810428542666666
Karnataka,21.083333333333332,67.77777777777777,20.083333333333332,22.211716852777776,27.94410924583333,112.70607947305555,5.7649433589444445
Kerala,21.01094890510949,54.57299270072993,20.182481751824817,28.064219535437957,60.94404769543795,83.9297362359124,6.443489291722628
Madhya Pradesh,32.29545454545455,56.65909090909091,19.40909090909091,29.205290769772727,73.70023185840908,59.522093875454544,6.978072821613637
Maharashtra,28.228395061728396,68.25925925925925,19.228395061728396,27.10556183055556,64.82219351820987,55.830781403950624,7.013929195944445
Manipur,17.576923076923077,31.923076923076923,34.90384615384615,22.31810922423077,84.35874754788462,91.74846385057693,6.585475704346154
Meghalaya,23.666666666666668,22.0,39.166666666666664,22.144096233333332,88.21754738499999,108.64757909999999,6.503811070666667
Nagaland,15.0,19.666666666666668,39.666666666666664,22.938963081666667,88.35543350833332,108.58397411666668,6.474679844666667
Odisha,54.93023255813954,45.66279069767442,44.44186046511628,24.19145302895349,85.82809035581396,106.07663380767441,6.235814287395348
Pondicherry,99.71428571428571,79.71428571428571,51.42857142857143,27.14955264714286,79.27687789285713,113.56565254285715,6.095028714714286
Punjab,45.19444444444444,58.18888888888889,58.88333333333333,29.19040076844444,63.93319194661111,94.08620717755556,5.8499033146
Rajasthan,21.804878048780488,132.90243902439025,199.85365853658536,23.490066167560975,81.70693257658536,69.54835680341463,6.055710734634146
Tamil Nadu,85.8415300546448,39.49726775956284,79.01639344262296,26.03212509745902,86.4048193759563,47.69947807284153,6.3631857580983615
Telangana,100.06666666666666,15.2,47.733333333333334,28.561531694,92.041882984,24.858913382,6.375065089933333
Tripura,100.5,16.944444444444443,50.166666666666664,28.66170728388889,92.65677295833333,23.40267233388889,6.3709872777222225
Uttar Pradesh,50.76829268292683,52.65679442508711,59.562717770034844,26.061622756794424,89.35010224069686,125.93183185430314,6.528581364623693
Uttrakhand,78.14285714285714,46.285714285714285,39.714285714285715,25.123533468571427,80.48785024761905,172.4554772142857,6.87021448
West Bengal,97.04032258064517,32.24193548387097,31.806451612903224,25.452348890483872,62.82217202274193,161.65820718467742,6.7765991955
Bihar,97.04032258064517,32.24193548387097,31.806451612903224,25.452348890483872,62.82217202274193,161.65820718467742,6.7765991955
Dadra and Nagar Haveli,77.64601769911505,48.424778761061944,22.398230088495577,22.499366216460178,66.55905320150443,101.19468676752211,6.27762054961062
Jharkhand,97.04032258064517,32.24193548387097,31.806451612903224,25.452348890483872,62.82217202274193,161.65820718467742,6.7765991955
Mizoram,100.5,16.944444444444443,50.166666666666664,28.66170728388889,92.65677295833333,23.40267233388889,6.3709872777222225
