Indian_States_Coordinates
State,Latitude,Longitude
Andaman and Nicobar Islands,11.665,92.739
Assam,26.344,93.010
Bihar,25.194,85.517
Chhattisgarh,21.523,81.944
Jharkhand,23.691,85.272
Gujarat,23.582,71.362
Manipur,24.664,93.906
Meghalaya,25.467,91.366
Odisha,20.238,84.270
Karnataka,14.957,75.789
Kerala,10.201,76.574
Madhya Pradesh,23.567,78.728
Maharashtra,19.756,76.357
Uttar Pradesh,27.571,80.098
Puducherry,11.934,79.831
Mizoram,23.165,92.938
Dadra and Nagar Haveli,20.181,73.017
Tamil Nadu,11.391,78.681
Tripura,23.944,91.816
Uttarakhand,30.189,79.208
West Bengal,23.822,88.039
